player,runs,balls,dismissed,opponent,date,venue,type
RG Sharma,6,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,4,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,4,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
RG Sharma,0,1,RG Sharma,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,6,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,4,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,4,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,4,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,4,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,6,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,2,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,,England,2021-03-18,Narendra Modi Stadium,batting
KL Rahul,0,1,KL Rahul,England,2021-03-18,Narendra Modi Stadium,batting
V Kohli,1,1,,England,2021-03-18,Narendra Modi Stadium,batting
SA Yadav,4,1,,England,2021-03-18,Narendra Modi Stadium,batting
